關鍵字,括號名稱,大類,位置規則,命名規則,範例原始名稱,範例調整後名稱,啟用,說明
Opanchu Usagi;Usagi;倒霉生日會,盲盒,34,細項在前-作品在後,Opanchu Usagi 可動公仔盒入商品使用 (盲盒)，系列細項放前，作品放後，盒數以 @N 結尾。,TT Opanchu Usagi倒霉生日會系列可動公仔6入/袋6/箱9,(盲盒)倒霉生日會系列可動公仔-TT Opanchu Usagi@6,1,南波丸盲盒命名與大類規則
麵包超人;復古玩具屋毛絨,盲盒,34,細項在前-作品在後,麵包超人毛絨盲盒，系列細項放前，作品放後，盒數以 @N 結尾，移除半箱資訊。,麵包超人復古玩具屋毛絨6入/半箱5,(盲盒)復古玩具屋毛絨-麵包超人@6,1,南波丸盲盒命名與大類規則
犬夜叉;泡泡犬夜叉;戰國之旅,動漫盲盒,33,細項在前-作品在後,犬夜叉動漫盲盒使用 (動漫盲盒)，系列細項放前，作品放後，盒數以 @N 結尾，移除半箱資訊。,泡泡犬夜叉戰國之旅系列6入/半箱6,(動漫盲盒)戰國之旅系列-泡泡犬夜叉@6,1,南波丸動漫盲盒命名與大類規則
崩壞-星穹鐵道;崩壞星穹鐵道;兔兔菇;菇菇兔;迷你手辦,盲盒,34,細項在前-作品在後,崩壞星穹鐵道兔兔菇與菇菇兔系列迷你手辦，系列細項放前，作品放後，N入轉成 @N，箱數不進正式品名。,崩壞-星穹鐵道兔兔菇與菇菇兔系列迷你手辦12入/箱6,(盲盒)兔兔菇與菇菇兔系列迷你手辦-崩壞星穹鐵道@12,1,南波丸盲盒命名與大類規則
初音未來;萬代初音未來;高達,盲盒,34,細項在前-作品在後,萬代初音未來高達盲盒，移除萬代等廠商字樣，N入轉成 @N，半箱資訊不進正式品名。,萬代初音未來高速10入/半箱5,(盲盒)萬代初音未來高達@10,1,南波丸盲盒命名與大類規則；原單高速依使用者修正為高達
葬送芙莉蓮;旅行日記,盲盒,34,細項在前-作品在後,葬送芙莉蓮旅行日記盲盒，細項放前，作品放後，N入轉成 @N，半箱資訊不進正式品名。,葬送芙莉蓮旅行日記6入/半箱6,(盲盒)旅行日記-葬送芙莉蓮@6,1,南波丸盲盒命名與大類規則
Chikawa三麗鷗草莓車車毛絨掛件;吉伊;烏薩奇;小八;小桃,吊飾,31,拆分款式-角色在前-系列在後,草莓車車毛絨掛件依實際款式拆分；角色放在前方，Chikawa 三麗鷗草莓車車毛絨掛件放在後方，大類 31。,Chikawa三麗鷗草莓車車毛絨掛件-四款可選,(吊飾)吉伊-Chikawa三麗鷗草莓車車毛絨掛件,1,南波丸Chikawa草莓車車拆分命名與大類規則
Chikawa;三麗鷗9入,盲盒,36,括號分類在最前方,Chikawa 三麗鷗 9入盲盒保留 Chikawa 文字，N入轉成 @N。,Chikawa三麗鷗9入,(盲盒)Chikawa三麗鷗@9,1,南波丸台灣盲盒命名與大類規則
探險活寶;絨毛娃娃吊飾,吊飾,45,括號分類在最前方,探險活寶絨毛娃娃吊飾，N入轉成 @N。,探險活寶絨毛娃娃吊飾4入,(吊飾)探險活寶絨毛娃娃吊飾@4,1,南波丸動漫周邊吊飾命名與大類規則
海綿寶寶;路人魚掛件;內心慌張;哼我生氣了;超級委屈;想想就開心;好突然,吊飾,45,細項在前-作品系列在後,海綿寶寶卡通毛絨系列路人魚掛件，款式名放前，系列放後；尾端單款優數不進正式品名。,海綿寶寶卡通毛絨系列路人魚掛件/單款優10-規款胖開心,(吊飾)想想就開心-海綿寶寶卡通毛絨系列路人魚掛件,1,南波丸海綿寶寶吊飾命名與大類規則；依已建檔款名優先比對
Chikawa三麗鷗坐姿毛絨掛件;布丁狗;大耳狗;庫洛米;凱蒂貓,吊飾,31,拆分款式-細項在前-系列在後,Chikawa 三麗鷗坐姿毛絨掛件若使用者拆分款式，款式角色放前，系列放後，大類 31。,Chikawa三麗鷗坐姿毛絨掛件-四款可選,(吊飾)布丁狗-Chikawa三麗鷗坐姿毛絨掛件,1,南波丸拆分款式命名與大類規則
1/4 PVC;1/6 PVC;1/7 PVC;SSR FIGURE;兔女郎Ver.;裸腿兔女郎Ver.,公仔,38,角色主體在前-規格系列在後,PVC 與 SSR FIGURE 類公仔使用 (公仔)，角色或主體放前，作品或規格系列放後，移除價格尾碼。,1/4 PVC 紫色之心 裸腿兔女郎Ver. 27000,(公仔)紫色之心裸腿兔女郎Ver.-1/4PVC,1,鉅霖 PVC 公仔命名與大類規則
POP UP PARADE;POPUP;PARADE;L size;XL size,POPUP,38,品牌系列在前-角色規格在後,POP UP PARADE 類產品括號使用 (POPUP)，名稱保留 PARADE 與角色/尺寸資訊，統一大類 38。,POP UP PARADE 阿爾法 L size 8000,(POPUP)PARADE阿爾法L SIZE,1,鉅霖 POP UP PARADE 命名與大類規則
初音未來;約會穿搭Ver.;交響樂2019Ver.;玩偶,娃娃,31,版本細項在前-作品角色在後,初音未來玩偶類使用 (娃娃)，版本或服裝細項放前，初音未來放後。,初音未來 約會穿搭Ver. 玩偶 5000,(娃娃)約會穿搭Ver.-初音未來,1,鉅霖初音未來娃娃命名與大類規則
福音戰士新劇場版,盲盒,37,作品在前-系列在後-盒數結尾,福音戰士驚喜黏土人盒玩使用 (盲盒)，作品放前、系列放後，盒數以 @N 結尾。,驚喜黏土人 福音戰士新劇場版@6 1636,(盲盒)福音戰士新劇場版-驚喜黏土人@6,1,鉅霖日本盒玩命名與大類規則
月精,景品,39,角色版本在前-作品類型在後,月精景品使用 (景品)；角色與月精版本放在 - 前，作品名稱與公仔類型放在 - 後。,藥師少女的獨語 貓貓公仔 月精,(景品)貓貓月精-藥師少女的獨語公仔,1,萬榮月精景品命名與大類規則
木之本櫻公仔,景品,39,角色在前-作品篇章在後,庫洛魔法使木之本櫻景品使用 (景品)；角色放在 - 前，作品與透明牌篇放在 - 後。,庫洛魔法使 透明牌篇 木之本櫻公仔,(景品)木之本櫻-庫洛魔法使透明牌篇公仔,1,萬榮庫洛魔法使景品命名與大類規則
ESPRESTO;Heart bouquet,景品,39,角色在前-作品系列在後,ESPRESTO 景品使用 (景品)；角色放在 - 前，作品名稱接 ESPRESTO 與版本系列放在 - 後。,學園偶像大師 ESPRESTO Heart bouquet 藤田琴音,(景品)藤田琴音-學園偶像大師ESPRESTO Heart bouquet,1,萬榮 ESPRESTO 景品命名與大類規則
SOFVIMATES;大大的SOFVIMATES,景品,39,角色在前-作品系列在後,SOFVIMATES 景品使用 (景品)；角色放在 - 前，作品名稱接大大的SOFVIMATES放在 - 後。,銀魂 大大的SOFVIMATES 伊麗莎白,(景品)伊麗莎白-銀魂大大的SOFVIMATES,1,萬榮 SOFVIMATES 景品命名與大類規則
G&G;波動捻麗,景品,39,角色版本在前-作品系列在後,G&G 景品使用 (景品)；角色與版本放在 - 前，作品名稱接 G&G 放在 - 後，保留 ver.A 或 ver.B。,我的英雄學院 G&G 波動捻麗II ver.A,(景品)波動捻麗II ver.A-我的英雄學院G&G,1,萬榮 G&G 景品命名與大類規則
戰光絕景,景品,39,角色在前-作品系列在後,戰光絕景景品使用 (景品)；角色放在 - 前，作品名稱接戰光絕景放在 - 後。,航海王 戰光絕景 蒙其D.魯夫,(景品)蒙其D.魯夫-航海王戰光絕景,1,萬榮戰光絕景景品命名與大類規則
貓咪頭巾貓公仔P2;法老王篇,盲盒,34,商品系列在前-篇章在後-盒數結尾,貓咪頭巾貓公仔 P2 使用 (盲盒)；移除再販與 BOX 文字，保留篇章，元大內裝數轉為 @N。,貓咪頭巾貓公仔P2-法老王篇(BOX) 12入,(盲盒)貓咪頭巾貓公仔P2-法老王篇@12,1,元大玩具盲盒命名與大類規則
HELLO! GOOD SMILE;HELLO!GOOD SMILE;HELLO!GOODSMILE,動漫明盒,38,角色版本在前-品牌系列在後,HELLO!GOOD SMILE 公仔使用 (動漫明盒)；移除尾端建議售價，角色與版本放在 - 前，HELLO!GOOD SMILE 放在 - 後。,HELLO! GOOD SMILE 埃癸斯 1818,(動漫明盒)埃癸斯-HELLO!GOOD SMILE,1,鉅霖 HELLO!GOOD SMILE 命名與大類規則
英雄VS敵人篇,動漫盲盒,33,作品主題在前-系列在後-盒數結尾,我的英雄學院英雄VS敵人篇驚喜黏土人使用 (動漫盲盒)；作品與篇章放前、驚喜黏土人放後，盒數以 @N 結尾。,驚喜黏土人 我的英雄學院 英雄VS敵人篇(全6+1種)@6 1636,(動漫盲盒)我的英雄學院英雄VS敵人篇-驚喜黏土人@6,1,鉅霖動漫盒玩命名與大類規則
黏土人Plus;橡膠公仔,公仔,38,角色在前-系列商品類型在後,黏土人Plus 橡膠公仔類使用 (公仔)；角色放在 - 前，黏土人Plus橡膠公仔放在 - 後。,黏土人Plus 芙莉蓮 橡膠公仔,(公仔)芙莉蓮-黏土人Plus橡膠公仔,1,萬榮黏土人Plus橡膠公仔命名與大類規則
PLAMATEA,模型,38,角色在前-品牌系列在後,PLAMATEA 組裝模型使用 (模型)；角色放在 - 前，PLAMATEA 放在 - 後。,PLAMATEA 萊莎琳·斯托特,(模型)萊莎琳·斯托特-PLAMATEA,1,萬榮PLAMATEA模型命名與大類規則
貓福珊迪;搪膠毛絨二代,盲盒,34,作品系列保留-入數轉@N,貓福珊迪搪膠毛絨盲盒保留系列與代數；商品入數轉成 @N，箱數資訊移除。,貓福珊迪搪膠毛絨二代3入/箱6,(盲盒)貓福珊迪搪膠毛絨二代@3,1,南波丸貓福珊迪盲盒命名與大類規則
自嘲熊;米粒公仔第一彈,盲盒,34,作品系列保留-入數轉@N,自嘲熊米粒公仔盲盒保留系列彈數；商品入數轉成 @N，半箱資訊移除。,自嘲熊米粒公仔第一彈12入/半箱4,(盲盒)自嘲熊米粒公仔第一彈@12,1,南波丸自嘲熊盲盒命名與大類規則
Doggy OOTD;狗狗變裝秀毛絨掛件,盲盒,34,系列名稱保留-入數轉@N,Doggy OOTD 狗狗變裝秀毛絨掛件視為大陸盒玩；商品入數轉成 @N，半箱資訊移除。,Doggy OOTD狗狗變裝秀毛絨掛件9入/半箱5,(盲盒)Doggy OOTD狗狗變裝秀毛絨掛件@9,1,南波丸Doggy OOTD盲盒命名與大類規則
IVE SECRET;IVE REVIVE+;典藏星光卡,卡牌,27,系列名稱保留-入數轉@N,IVE 典藏星光卡歸卡牌與卡牌周邊；系列名稱保留，入數轉成 @N。,IVE SECRET典藏星光卡5入,(卡牌)IVE SECRET典藏星光卡@5,1,南波丸IVE典藏星光卡命名與大類規則
Yumemirize;XStellar;Petite World Memories;FIGURIZMα;Luminasta;Desktop Fairy;Trio-Try-iT;泡麵蓋公仔;BiCute Bunnies;BiCute Ribbons;Exceed Creative,景品,39,角色版本在前-作品系列在後,SEGA／Furyu 景品系列使用 (景品)；角色或版本放在 - 前，作品名稱與系列名稱放在 - 後；再版與服裝版本等身份詞保留。,初音未來 Desktop Fairy公仔 Wonderland ver.,(景品)Wonderland ver.-初音未來Desktop Fairy,1,萬榮 SEGA／Furyu 景品系列命名與大類規則
鬼滅之刃倚肩公仔,動漫盲盒,33,括號分類在最前方,鬼滅之刃倚肩公仔系列使用 (動漫盲盒)；保留 P 編號並移除再販年份。,鬼滅之刃倚肩公仔P3,(動漫盲盒)鬼滅之刃倚肩公仔P3,1,元大玩具倚肩公仔命名與大類規則
木乃伊貓貓異色篇,盲盒,37,括號分類在最前方,木乃伊貓貓異色篇使用 (盲盒)；保留 BOX 標記並移除再販年份。,(再販26)木乃伊貓貓異色篇(BOX),(盲盒)木乃伊貓貓異色篇(BOX),1,元大玩具木乃伊貓貓命名與大類規則
PLAfig;哥吉拉 2001,模型,38,角色版本在前-系列在後,PLAfig 哥吉拉模型類使用 (模型)；哥吉拉與版本放在前方，PLAfig 放在後方；大類固定 38 公仔/吊卡/PVC。,PLAfig 哥吉拉 2001,(模型)哥吉拉2001-PLAfig,1,元大玩具 PLAfig 哥吉拉命名與大類規則
PLAfig;限定版;哥吉拉 2001,模型,38,角色版本在前-系列在後,PLAfig 哥吉拉限定版使用 (模型)；哥吉拉與版本放在前方，PLAfig 放在後方；大類固定 38 公仔/吊卡/PVC。,PLAfig 哥吉拉 2001(限定版),(模型)哥吉拉2001限定版-PLAfig,1,元大玩具 PLAfig 哥吉拉限定版命名與大類規則
星之卡比掛繩吊飾;傳送之星,吊飾,51,款式在前-作品系列在後,星之卡比掛繩吊飾拆分款式時使用 (吊飾)；款式或角色放在 - 前，星之卡比掛繩吊飾放在 - 後；大類固定 51 卡比周邊。,星之卡比掛繩吊飾 傳送之星,(吊飾)傳送之星-星之卡比掛繩吊飾,1,元大玩具星之卡比掛繩吊飾命名與大類規則
星之卡比掛繩吊飾;卡比&瓦豆魯迪,吊飾,51,款式在前-作品系列在後,星之卡比掛繩吊飾拆分款式時使用 (吊飾)；款式或角色放在 - 前，星之卡比掛繩吊飾放在 - 後；大類固定 51 卡比周邊。,星之卡比掛繩吊飾 卡比&瓦豆魯迪,(吊飾)卡比&瓦豆魯迪-星之卡比掛繩吊飾,1,元大玩具星之卡比掛繩吊飾命名與大類規則
星之卡比掛繩吊飾;睡覺,吊飾,51,款式在前-作品系列在後,星之卡比掛繩吊飾拆分款式時使用 (吊飾)；款式或角色放在 - 前，星之卡比掛繩吊飾放在 - 後；大類固定 51 卡比周邊。,星之卡比掛繩吊飾 睡覺,(吊飾)睡覺-星之卡比掛繩吊飾,1,元大玩具星之卡比掛繩吊飾命名與大類規則
PalVerse盲盒;BanG Dream;Roselia,PalVerse盲盒,33,主題在前-作品品牌在後,PalVerse 盲盒類若使用者確認為動漫盒玩，使用 (PalVerse盲盒)；角色或團體放前，作品與 PalVerse 放後；大類固定 33 動漫盒玩。,PalVerse BanG Dream! Roselia盲盒,(PalVerse盲盒)Roselia-BanG Dream!,1,元大玩具 PalVerse 盲盒命名與大類規則
PalVerse Pale;鏈鋸人;蕾潔,公仔,38,角色在前-作品系列在後,PalVerse Pale 公仔類使用 (公仔)；角色放在前方，作品與 PalVerse Pale 放在後方；大類固定 38 公仔/吊卡/PVC。,PalVerse Pale. 劇場版『鏈鋸人蕾潔篇』,(公仔)蕾潔-劇場版鏈鋸人蕾潔篇 PalVerse Pale.,1,元大玩具 PalVerse Pale 公仔命名與大類規則
PalVerse Pale. 劇場版『鏈鋸人 蕾潔篇』;PalVerse Pale;鏈鋸人;蕾潔,公仔,38,角色在前-作品系列在後,PalVerse Pale 公仔類使用 (公仔)；角色放在前方，作品與 PalVerse Pale 放在後方；大類固定 38 公仔/吊卡/PVC。,PalVerse Pale. 劇場版『鏈鋸人 蕾潔篇』,(公仔)蕾潔-劇場版鏈鋸人蕾潔篇 PalVerse Pale.,1,元大玩具 PalVerse Pale 公仔命名與大類規則
全職獵人坐坐(PVC),盲盒,34,括號分類在最前方,全職獵人坐坐 PVC 盲盒使用 (盲盒)；入數轉成 @N 並移除半箱資訊。,全職獵人坐坐(PVC)6入/半箱8,(盲盒)全職獵人坐坐(PVC)@6,1,南波丸全職獵人坐坐盲盒命名與大類規則
三麗鷗大耳狗夢樂園,盲盒,34,括號分類在最前方,三麗鷗大耳狗夢樂園使用 (盲盒)；入數轉成 @N 並移除盒箱資訊。,三麗鷗大耳狗夢樂園8入/優4/箱9,(盲盒)三麗鷗大耳狗夢樂園@8,1,南波丸大耳狗夢樂園盲盒命名與大類規則
Black Pink典藏星光卡;BLACKPINK典藏星光卡,卡牌,27,括號分類在最前方,BLACKPINK 典藏星光卡使用 (卡牌)；品牌連寫大寫並將入數轉成 @N。,Black Pink典藏星光卡5入,(卡牌)BLACKPINK典藏星光卡@5,1,南波丸BLACKPINK典藏星光卡命名與大類規則
VIGNETTEUM;名偵探柯南;變小的名偵探,景品,39,角色版本在前-作品系列在後,萬榮名偵探柯南 VIGNETTEUM 類使用 (景品)；角色或版本放在 - 前，作品名稱接 VIGNETTEUM 公仔放在 - 後。,名偵探柯南 VIGNETTEUM 公仔 江戶川柯南 變小的名偵探,(景品)江戶川柯南變小的名偵探-名偵探柯南VIGNETTEUM公仔,1,萬榮名偵探柯南 VIGNETTEUM 景品命名與大類規則
XrossLink;名偵探柯南;萩原研二;松田陣平,景品,39,角色在前-作品系列在後,萬榮名偵探柯南 XrossLink 公仔使用 (景品)；角色放在 - 前，作品名稱接 XrossLink 公仔放在 - 後。,名偵探柯南 XrossLink公仔 萩原研二,(景品)萩原研二-名偵探柯南XrossLink公仔,1,萬榮名偵探柯南 XrossLink 景品命名與大類規則
名偵探柯南;絨毛;江戶川柯南;變小的名偵探,娃娃,31,角色版本在前-作品系列在後,萬榮名偵探柯南絨毛類使用 (娃娃)；角色或版本放在 - 前，作品名稱接絨毛放在 - 後。,名偵探柯南 絨毛 江戶川柯南 變小的名偵探,(娃娃)江戶川柯南變小的名偵探-名偵探柯南絨毛,1,萬榮名偵探柯南絨毛命名與大類規則
斯普拉遁3;吊飾,吊飾,28,括號分類在最前方,斯普拉遁吊飾類使用 (吊飾)；商品名稱可直接接在括號後方，大類固定 28 鑰匙圈。,斯普拉遁3 吊飾,(吊飾)斯普拉遁3吊飾,1,萬榮遊戲周邊吊飾命名與大類規則
精靈寶可夢;寶可夢;絨毛玩偶;夢幻,玩偶,31,角色版本在前-作品系列在後,精靈寶可夢絨毛玩偶使用 (玩偶)；角色與版本放在 - 前，作品名稱接絨毛玩偶放在 - 後。,精靈寶可夢 絨毛玩偶 夢幻 笑臉ver.*1000,(玩偶)夢幻笑臉ver.-精靈寶可夢絨毛玩偶,1,萬榮寶可夢絨毛玩偶命名與大類規則
出包王女;菈菈;撒塔琳;戴比路克;貓耳朵造型,景品,39,角色版本在前-作品在後,出包王女景品使用 (景品)；角色與造型版本放在 - 前，作品名稱放在 - 後，移除價格尾碼。,出包王女 貓耳朵造型 菈菈·撒塔琳 戴比路克*1000,(景品)菈菈·撒塔琳戴比路克貓耳朵造型-出包王女,1,萬榮出包王女景品命名與大類規則
火影忍者疾風傳;忍界造型列傳;漩渦鳴人,景品,39,角色在前-作品系列在後,火影忍者疾風傳忍界造型列傳使用 (景品)；角色放在 - 前，作品名稱接忍界造型列傳放在 - 後，移除價格尾碼。,火影忍者疾風傳 忍界造型列傳 漩渦鳴人*1000,(景品)漩渦鳴人-火影忍者疾風傳忍界造型列傳,1,萬榮火影忍者疾風傳景品命名與大類規則
火影忍者疾風傳;五影集結;照美冥;水影,景品,39,角色版本在前-作品在後,火影忍者疾風傳五影集結景品使用 (景品)；角色與系列詞放在 - 前，作品名稱放在 - 後，移除價格尾碼。,火影忍者疾風傳 水影 照美冥 公仔 五影集結…!!*1000,(景品)照美冥五影集結-火影忍者疾風傳,1,萬榮火影忍者疾風傳景品命名與大類規則
JoJo;JOJO;星塵遠征軍;CLEAR FIGURE;伊奇,景品,39,角色版本在前-作品系列在後,JoJo 星塵遠征軍 CLEAR FIGURE 景品使用 (景品)；角色與版本放在 - 前，作品名稱接 CLEAR FIGURE 放在 - 後，移除價格尾碼。,JoJo的奇妙冒險 星塵遠征軍 CLEAR FIGURE 伊奇ver.A*900,(景品)伊奇ver.A-JoJo的奇妙冒險星塵遠征軍CLEAR FIGURE,1,萬榮 JoJo CLEAR FIGURE 景品命名與大類規則
原創塔麻歌子;塔麻歌子;寵物機,寵物機,38,款式在前-作品系列在後,塔麻歌子寵物機類使用 (寵物機)；款式放在 - 前，原創塔麻歌子放在 - 後。,原創塔麻歌子-Y3K柑橘,(寵物機)Y3K柑橘-原創塔麻歌子,1,萬榮塔麻歌子寵物機命名與大類規則
勝利女神：妮姬DORO系列拉拉玩偶 DORO,玩偶,31,角色在前-作品系列在後,萬榮妮姬DORO系列玩偶使用 (玩偶)；DORO/CINDORO 放在 - 前，作品與系列拉拉玩偶放在 - 後。,勝利女神：妮姬DORO系列拉拉玩偶 DORO,(玩偶)DORO-勝利女神：妮姬DORO系列拉拉玩偶,1,萬榮妮姬DORO系列玩偶命名與大類規則
